CRASH_DATE,COUNT
2018-05-30,315
2018-05-31,426
2018-06-01,464
2018-06-02,397
2018-06-03,322
2018-06-04,389
2018-06-05,347
2018-06-06,314
2018-06-07,349
2018-06-08,386
2018-06-09,316
2018-06-10,347
2018-06-11,378
2018-06-12,338
2018-06-13,365
2018-06-14,366
2018-06-15,364
2018-06-16,392
2018-06-17,311
2018-06-18,385
2018-06-19,309
2018-06-20,318
2018-06-21,366
2018-06-22,394
2018-06-23,335
2018-06-24,320
2018-06-25,295
2018-06-26,318
2018-06-27,285
2018-06-28,342
2018-06-29,421
2018-06-30,368
2018-07-01,310
2018-07-02,355
2018-07-03,405
2018-07-04,319
2018-07-05,381
2018-07-06,382
2018-07-07,365
2018-07-08,296
2018-07-09,378
2018-07-10,356
2018-07-11,330
2018-07-12,323
2018-07-13,393
2018-07-14,326
2018-07-15,262
2018-07-16,361
2018-07-17,340
2018-07-18,325
2018-07-19,308
2018-07-20,376
2018-07-21,359
2018-07-22,276
2018-07-23,299
2018-07-24,305
2018-07-25,327
2018-07-26,337
2018-07-27,364
2018-07-28,310
2018-07-29,278
2018-07-30,304
2018-07-31,317
2018-08-01,386
2018-08-02,358
2018-08-03,382
2018-08-04,381
2018-08-05,275
2018-08-06,298
2018-08-07,364
2018-08-08,304
2018-08-09,308
2018-08-10,349
2018-08-11,354
2018-08-12,315
2018-08-13,325
2018-08-14,314
2018-08-15,310
2018-08-16,294
2018-08-17,360
2018-08-18,333
2018-08-19,267
2018-08-20,321
2018-08-21,291
2018-08-22,313
2018-08-23,303
2018-08-24,345
2018-08-25,345
2018-08-26,287
2018-08-27,340
2018-08-28,364
2018-08-29,319
2018-08-30,322
2018-08-31,385
2018-09-01,324
2018-09-02,259
2018-09-03,243
2018-09-04,420
2018-09-05,369
2018-09-06,341
2018-09-07,360
2018-09-08,275
2018-09-09,269
2018-09-10,323
2018-09-11,352
2018-09-12,315
2018-09-13,389
2018-09-14,416
2018-09-15,341
2018-09-16,310
2018-09-17,347
2018-09-18,313
2018-09-19,318
2018-09-20,385
2018-09-21,345
2018-09-22,310
2018-09-23,298
2018-09-24,320
2018-09-25,360
2018-09-26,320
2018-09-27,341
2018-09-28,392
2018-09-29,317
2018-09-30,259
2018-10-01,339
2018-10-02,323
2018-10-03,384
2018-10-04,308
2018-10-05,415
2018-10-06,316
2018-10-07,306
2018-10-08,299
2018-10-09,351
2018-10-10,396
2018-10-11,348
2018-10-12,382
2018-10-13,307
2018-10-14,276
2018-10-15,345
2018-10-16,341
2018-10-17,331
2018-10-18,337
2018-10-19,425
2018-10-20,347
2018-10-21,268
2018-10-22,316
2018-10-23,340
2018-10-24,336
2018-10-25,315
2018-10-26,329
2018-10-27,364
2018-10-28,284
2018-10-29,331
2018-10-30,303
2018-10-31,340
2018-11-01,303
2018-11-02,329
2018-11-03,302
